" |text нужный пандус просить установить"
" |text просить установить пандус поручень"
" |text довести лифт поломка итог лифт демонтировать пенсионер инвалид неспособный подниматься лестница"
" |text необходимый установить пандус обеспечение доступность алкомаркета красный белый маломобильный группа население"
" |text здравствовать попасть тд шатлыко коляска коляска возможно обход вход пандус коврик ужасно скользкий подняться невозможно спускаться просто опасный жизнь"
" |text работать лифт подъемник надземный переход пересечение пр ф амирхан ул лаврентьев невозможно перейти колясочник"
" |text наш подъезд пандус давать возможность свободный передвижение инвалид ой группа коляска больница обратно место проживание"
" |text пешеходный переход около дом ул пр победа убрать лифт подъем лестница ходить коляска безопасно крутой подъесть говорить инвалид который подняться невозможно"
" |text метр подъезд пандус должный пология откидной электрический подъемник снаружи подъезд пандус сделать пологий обязательно перилла жить инвалид колясочник просить переделать пандус подъезд внутри подъезд первое этаж"
" |text двор дом улица заслоновый иметься затруднение парковка авто специально выделить место парковка транспортный средство инвалид отсутствовать просить установить специальный знак выделение место согласно плата ст федеральный закон"
" |text работать лифт пешеходный переход невозможно перейти улица инвалид коляска ребенок коляска"
" |text около месяц работать подъемник просьба починить"
" |text непригодный пандус магазин сити молл"
" |text невозможно подняться инвалид коляска мама коляска"
" |text вход кафе европа петербургский целое высокий ступень необходимый сделать пандус место позволять человек ограниченный возможность родитель детский коляска мочь входить здание"
" |text здравствовать ребенок инвалид колясочник подъезд улица челюскин отсутсвовать пандус первое этаж каждый день приходиться поднимать опускать ребенок вместе коляска просить установить откидной пандус"
" |text здравствовать парковка возле тк восторг ул максимов б отсутсвовать специально отвести парковочный место человек ограниченый способность обозначить знак разметка"
" |text крыльцо входной группа тц проспект отсутствовать пандус высота крыльцо составлять примерно сантиметр весь периметр занимать весь тротуар"
" |text работать подъемник сторона агропромпарк"
" |text вход медицинский учреждение айболеть отсутствовать пандус"
" |text лифт предназначить человек ограниченный возможность который относиться надземный пешеходный переход оренбургский тракт дц гк кан авто ркб рт сторона автосалон работать лифт указать номер служба поддержка отвечать"
" |text добрый день голден бар оборудовать доступ инвалид колясочник нету звонок нету пандус"
" |text транспортный ворот закрытый пешеходный проход оборудовать пандус парковый зона гулять основное коляска"
" |text лифт который спускать метро поезд инвалид ребенок коляскогда ехать немой это ужас фильм ужас скрепить резать звук спускаться инфаркт довести ребенок громко очень страшно взрослый прям ухо замкнуть хотеться"
" |text отделение фссп пандус соответствовать норма инвалид колясочник иметь возможность обратиться данный подразделение отсутствовать кнопка вызов помощь федеральный закон фз социальный защита инвалид необходимый обустройство пандус"
" |text сделать вход колясочник установить пандус входной группа организация билайн здание пандус"
" |text сделать вход колясочник установить пандус входной группа организация евросеть здание пандус"
" |text сделать вход колясочник установить пандус входной группа организация спорт прогноз здание пандус"
" |text сделать вход колясочник установить пандус входной группа организация тело здание пандус"
" |text сделать вход колясочник установить пандус входной группа организация мегафон здание пандус"
" |text просить сделать пандус первое подъезд дом ул рихард зорг прживать инвалид"
" |text нужный пандус инвалид колясочн ка менделеев далее подъезд пять этаж проживать инвалид колясочник соц защита ссылаться средство установка пандус"
" |text отсутствовать пандус инвалид ход магазин магнит косметика"
" |text зайти маломобильный требовать сделать"
" |text ряд сквер кинотеатр требовать сделать"
" |text требовать сделать"
" |text вход помещение тк сдэк отсутствовать пандус инвалид"
" |text вход салон штора парикмахерский отсутствовать пандус"
" |text спускаться коляска пандус достаточно крутой снизу разрушить плитка коляска споткнуться передний колесо перевернуться вместе ребенок ребенок удариться нос похоже мягкий перила коляска ссадиня палец просить принять мера"
" |text дом улица фучик дом проживать инвалид группа колясочница этаж этажный дом пандус спуск этаж человек год улица очень хотеться немного улучшить быт инвалид"
" |text соорудить парковочный место автомобиль инвалид разметка знак"
" |text лифт наземный переход запустить очень удобно подниматься колосок пандус некоторый коляска подходить"
" |text ппандус перила кнопка вызов работать решать вопрос доступ инвалид колясочник магазин инвалидный коляска нея дотянуться инвалид просить сделать безопасный пандус перила"
" |text просить запланировать установка знак парковка инвалид"
" |text магазин клумба установить хороший безопасный пандус"
" |text просить установить пология безопасный пандус"
" |text территория маг мегастроить принадлежать оо агава отсутствовать парковочный место маломобильный гражданин соответствующий знак табличка знак"
" |text нужно установить пандус магазин"
" |text нужно установить пандус кнопка вызов маломобильный группа население медицинский пункт адрес ул александр матросов дом"
" |text нужно установить пандус кнопка вызов маломобильный группа население магазин продукт чайка адрес лиза чайкина"
" |text нужно установить пандус кнопка вызов маломобильный группа население магазин премьера адрес ул международный дом"
" |text нужно установить пандус кнопка вызов маломобильный группа население магазин изобилие адрес ул ленин дом"
" |text нужно установить пандус кнопка вызов маломобильный группа население организация фотография"
" |text нужно установить пандус кнопка вызов маломобильный группа население парикмахерский глория"
" |text полоз коляска продуктовый магазин адоратский требовать принять мера установить рельс полоз"
" |text очень сложно переходить стеклянный переход упасть сломать нога лифт работать костыль маленькая ступенька удобно ходить"
" |text минь отель адоратский кнопка помощь инвалид требовать установить новый кнопка перфотекст"
" |text магазин плитка адоратский пандус инвалид требовать установить пандус"
" |text стоматология адоратский пандус коляска требовать установить новый пандус"
" |text просить установить хороший безопасный пандус вход магазин стокманна несколько инвалид колясочник проверять кнопка вызов нажимать ждать зимой стоять улица мерзнуть выйти толк кнопка"
" |text просить установить хороший безопасный пандус вход магазин золотой яблоко это весь условие несколько инвалид колясочник проверять кнопка вызов нажимать ждать зимой стоять улица мерзнуть выйти толк кнопка"
" |text ателье адоратский кнопка вызов инвалид требовать установить новый кнопка"
" |text нужно установить пандус кнопка вызов маломобильный группа население комиссион магазин победа"
" |text нужно установить пандус кнопка вызов маломобильный группа население магазин глобус"
" |text нужно установить пандус кнопка вызов маломобильный группа население центр паровой коктейль бора бора"
" |text конец февраль год возле дом наш рахлина нажметдинов установить дорожный знак стоянка инвалид обозначить итог вокруг дом стоянка место обозначить инвалид просить устранить ошибка"
" |text нужно установить пандус кнопка вызов маломобильный группа население аптека фармленд"
" |text инвалид ой группа ходить костыль наш подъезд студенческий установить перила пандус невозможно подняться слишком крутой скользкий особенно зимой просить установить перила либо современный пандус пример прилагать фотография соседний подъезд"
" |text мост работать лифт год неудобно переходить пенсионер мамочка коляска"
" |text нужно установить пандус кнопка вызов маломобильный группа население комиссион магазин победа"
" |text нужно установить пандус кнопка вызов маломобильный группа население кардио диагностический центр здоровый сердце кардиология"
" |text невозможно подняться коляска детский магазин продуктовый магазин ризык многие магазин подъем делать железный рельс градус подъем позволять поднять ребенок коляска просить установить пандус соответствие существующий норматив"
" |text большой парковка место инвалид"
" |text фз социальный защита инвалид рф весь парковка должный выделить менее место инвалид парковка бульвар иметься место просить выделить инвалид менее шесть машиноместо установка соответствующий знак разметка гост"
" |text адоратский отсутствовать доступ тц пандус необходимый установить пандус"
" |text фз социальный защита инвалид рф парковка должный выделить менее место инвалид парковка площадь азатлыко иметься место просить выделить инвалид менее семь машиноместо установка соответствующий знак разметка гост"
