" |text русский вариант слово сайяр необходимый поставить запятая татарский вариант слово еаллард необходимый убрать буква лишний"
" |text благовещенский собор казанский кремль келья св гурий табличка камень русский язык просьба добавить татарский вариант"
" |text татарский слобода пустовать разрушаться старинный здание зимой провалиться крыша кирпичный кладка пошлый трещина универсиада фасад привести порядок внутри двор здание остаться пустой забросить просьба принять мера"
" |text дом петров апехтин афанасьев год постройка исторический здание памятник архитектура изуродовать незаконный надстройка уничтожить исторический аттик разрушаться фасад дом срочно снести надстройка восстановить первоначальный облик здание"
" |text стереться текст описание исторический место вход болгарский историко археологический комплекс"
" |text кондиционер уродовать фасад памятник архитектура усадьба оконошник необходимый демонтировать кондиционер фасад памятник архитектура"
" |text прогуляться доля улица казанский здание усадьба мишанин ужасный состояние выбить стекло разломать краска слезть отваливаться кусок здание это улица центральный который каждый день недостаточно автобус турист город область спасск"
" |text электрический кабель лежать газон"
" |text преддверие событие ворлд скилс центр город казань охранный зона памятник культурный наследие дерево закрепить кабель электрический напряжение опастность поражение электрический ток отдыхать территория озеро нижний кабан человек"
" |text указание объект культурный наследие мемориальный доска"
" |text указание объект культурный наследие мемориальный доска буква стертый"
" |text дефект потолок памятник архитектура дом печать необходимый привести нормативный состояние"
" |text тази гиззата окно крыша год разрушаться старинный здание никто дело принять мера"
" |text начаться раскопка внутри двор всякий обозначение упасть канава который копать"
" |text кондиционер фасад памятник архитектура дом наш год осокин проживать великий русский писатель литр наш толстой год год необходимый демонтировать кондиционер фасад здание"
